City_ID,City,Country,Date,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed
206,Camocim,BR,2021-08-08 23:58:45,-2.9022,-40.8411,few clouds,79.47,73,16,18.3
207,Kadoma,JP,2021-08-09 00:00:17,34.7333,135.5833,overcast clouds,80.58,74,100,17.78
208,Aswan,EG,2021-08-09 00:00:17,24.0934,32.907,clear sky,91.44,22,1,3.51
209,Skodje,NO,2021-08-09 00:00:18,62.5021,6.7034,broken clouds,59.22,86,52,2.84
210,Elizabeth City,US,2021-08-09 00:00:19,36.2946,-76.2511,few clouds,81.01,85,22,5.55
211,Kampene,CD,2021-08-09 00:00:19,-3.6,26.6667,light rain,67.91,85,67,1.97
212,Prata,BR,2021-08-08 23:57:18,-19.3072,-48.9242,clear sky,67.41,39,4,4.83
213,Suez,EG,2021-08-09 00:00:19,29.9737,32.5263,clear sky,78.33,74,0,7.36
214,Sola,VU,2021-08-08 23:55:40,-13.8833,167.55,light rain,75.87,88,90,0.0
215,Arlit,NE,2021-08-08 23:57:18,18.7369,7.3853,overcast clouds,96.26,26,93,6.46
216,Marawi,PH,2021-08-09 00:00:22,7.9986,124.2928,light rain,67.64,92,100,1.95
217,Yar-Sale,RU,2021-08-08 23:52:47,66.8333,70.8333,overcast clouds,52.18,64,100,15.39
218,Iracoubo,GF,2021-08-09 00:00:23,5.4802,-53.2011,light rain,78.46,86,85,11.23
219,Padang,ID,2021-08-09 00:00:24,-0.9492,100.3543,broken clouds,78.17,85,82,3.76
220,Puerto Del Rosario,ES,2021-08-09 00:00:24,28.5004,-13.8627,clear sky,71.35,73,1,14.97
221,Dingle,PH,2021-08-08 23:58:36,10.9995,122.6711,moderate rain,77.41,90,100,0.6
222,Pontes E Lacerda,BR,2021-08-09 00:00:25,-15.2261,-59.3353,clear sky,77.81,38,8,3.36
223,Kaeo,NZ,2021-08-08 23:59:00,-35.1,173.7833,light rain,45.32,93,80,13.56
224,Nadym,RU,2021-08-08 23:57:55,65.5333,72.5167,clear sky,53.08,73,6,17.43
225,Sherlovaya Gora,RU,2021-08-09 00:00:26,50.5667,116.25,overcast clouds,62.02,83,100,3.15
226,Benjamin Aceval,PY,2021-08-09 00:00:27,-24.9667,-57.5667,scattered clouds,76.89,35,48,8.3
227,Ashland,US,2021-08-09 00:00:28,40.8167,-82.2665,few clouds,82.31,78,22,4.76
228,Killybegs,IE,2021-08-08 23:51:04,54.6333,-8.45,overcast clouds,55.45,94,100,13.73
229,Pangkalanbuun,ID,2021-08-09 00:00:29,-2.6833,111.6167,overcast clouds,76.41,96,95,2.53
230,Gorzow Wielkopolski,PL,2021-08-09 00:00:29,52.7368,15.2288,scattered clouds,62.58,65,45,7.83
231,Pergamino,AR,2021-08-09 00:00:30,-33.89,-60.5736,light rain,45.52,92,100,16.2
232,Katobu,ID,2021-08-09 00:00:31,-4.9408,122.5276,broken clouds,78.82,77,82,4.5
233,Labuan,MY,2021-08-08 23:52:51,5.2767,115.2417,few clouds,80.96,83,20,0.0
234,Tessalit,ML,2021-08-09 00:00:31,20.1986,1.0114,overcast clouds,91.18,35,98,8.23
